station_id,WY 2012 Monthly Observed Precipitation Ordered By Station Name_STATION NAME,WY 2012 Monthly Observed Precipitation Ordered By Station Name_OCT,WY 2012 Monthly Observed Precipitation Ordered By Station Name_NOV,WY 2012 Monthly Observed Precipitation Ordered By Station Name_DEC,WY 2012 Monthly Observed Precipitation Ordered By Station Name_JAN,WY 2012 Monthly Observed Precipitation Ordered By Station Name_FEB,WY 2012 Monthly Observed Precipitation Ordered By Station Name_MAR,WY 2012 Monthly Observed Precipitation Ordered By Station Name_APR,WY 2012 Monthly Observed Precipitation Ordered By Station Name_MAY,WY 2012 Monthly Observed Precipitation Ordered By Station Name_JUN,WY 2012 Monthly Observed Precipitation Ordered By Station Name_JUL,WY 2012 Monthly Observed Precipitation Ordered By Station Name_AUG,WY 2012 Monthly Observed Precipitation Ordered By Station Name_SEP
ERK,EUREKA WOODLEY ISLAND,4.21,3.86,2.22,7.76,2.63,12.02,4.76,0.77,2.0,0.67,0.07,0.04
FRF,FAIRFIELD,1.65,1.25,0.23,0.55,1.04,6.77,2.31,0.04,0.03,,,
FMT,FAIRMONT,0.61,0.96,0.58,0.39,0.6,2.41,1.69,0.0,0.0,0.0,0.01,0.01
NIC,FEATHER RIVER NEAR NICOLAUS,1.43,0.93,0.1,3.55,0.81,4.47,2.24,0.02,0.0,,,
FDD,FIDDLETOWN,2.85,1.89,0.1,4.31,1.79,9.28,6.8,0.07,0.44,,,
FLR,FLORENCE LAKE (SCE),1.94,1.69,0.0,2.98,0.66,3.88,1.18,0.13,0.0,0.0,0.12,0.0
FLD,FOLSOM DAM - FOLSOM POINT (DYKE 8),2.25,0.74,0.34,2.92,1.45,5.63,3.82,0.04,0.26,0.0,0.0,0.0
FRH,FORESTHILL R S,4.93,1.98,0.13,7.68,3.46,16.79,7.73,0.17,1.07,,0.0,
FBW,FORT BIDWELL,0.34,1.07,0.8,1.21,1.06,2.84,1.86,0.73,0.32,0.0,0.0,0.0
FJN,FORT JONES RS,1.86,1.66,0.56,4.24,1.32,4.28,1.52,0.14,0.73,0.05,0.06,0.0
FRR,FORT ROSS,3.61,3.2,0.59,7.38,2.21,,2.17,0.85,0.34,,0.22,
FRO,FRESNO WB AIRPORT,0.9,0.67,0.0,1.38,0.75,2.43,2.02,0.0,0.0,0.0,0.0,0.0
GAS,GASQUET RANGER STATION,6.34,10.12,8.1,20.34,5.52,27.89,12.15,2.46,4.03,0.43,0.0,0.0
GLK,GEM LAKE,0.74,0.83,0.08,1.5,0.9,2.66,1.77,0.04,0.12,0.08,3.96,
GRG,GEORGETOWN RS (USFS),4.27,2.36,0.13,7.7,2.99,22.07,6.85,0.24,0.14,0.22,0.01,0.03
GNF,GIANT FOREST (USACE),3.3,2.94,0.0,9.0,2.5,8.2,7.3,1.0,0.3,0.3,0.0,0.5
GLV,GLENVILLE FS,1.93,1.17,0.05,0.87,1.33,3.1,4.02,0.07,0.0,0.0,0.0,0.0
GRO,GRANT GROVE,4.1,2.68,0.0,6.4,1.56,6.88,6.37,0.26,0.25,0.0,0.04,0.0
