station_id,station_name,oct,nov,dec,jan,feb,mar,apr,may,jun,jul,aug,sep
EGL,EAGLE CREEK,3.93,0.83,8.43,6.94,9.82,4.72,6.42,1.92,0.21,0.01,0.1,
EPK,EAST PARK RESERVOIR,,,,,,,,,,,,
ELC,EL CAPITAN DAM,0.09,0.91,4.74,6.56,4.63,1.03,3.02,0.02,,0.04,0.0,
ERY,ELLERY LAKE,2.88,0.51,2.56,3.51,3.27,1.4,2.56,0.8,0.0,0.6,0.0,0.0
ELS,ELSINORE,0.0,0.07,3.55,8.88,3.14,0.47,1.16,0.02,0.0,0.0,0.0,0.0
ENG,ENGLEBRIGHT (USACE),2.49,1.7,3.93,8.32,3.32,2.71,7.48,1.84,0.0,0.0,0.0,0.0
ERK,EUREKA WOODLEY ISLAND,1.95,4.15,4.17,9.29,4.2,6.06,7.76,3.51,2.31,0.04,0.15,1.39
FRF,FAIRFIELD,5.71,0.69,2.13,8.29,4.14,1.66,3.43,0.98,0.0,0.0,0.0,0.03
FMT,FAIRMONT,1.31,0.0,3.36,7.31,3.75,0.44,2.51,0.04,0.0,0.01,0.0,0.0
NIC,FEATHER RIVER NEAR NICOLAUS,2.27,0.73,1.67,5.14,2.18,1.89,2.11,0.62,0.0,,,
